sep=;
chapter;level;levelKey;levelData;info
1;39;LevelCL_039;LevelP_00380;Normal | 29 hamle | EnergyOrb x50, chest1 x28, Tube x6
1;40;LevelCL_040;LevelCL_040;Normal | 42 hamle | Gear x16, Core x14, ColorChest x16, EnergyContainer x2, Oil x4
1;41;LevelCL_041;LevelP_00400;BossDuel | 28 hamle | BossDamage x1000
1;42;LevelCL_042;LevelP_00410;Normal | 40 hamle | Wardrobe x10
1;43;LevelCL_043;LevelP_00420;Normal | 25 hamle | Mud x27, HelmetPorcelain x27, chest1 x5, Tube x4
1;44;LevelCL_044;LevelP_00430;Normal | 32 hamle | EnergyOrb x40, ColorChest x4, SculptingStone x20
1;45;LevelCL_045;LevelP_00440;Normal | 25 hamle | HelmetPorcelain x28, ColorChest x7
1;46;LevelCL_046;LevelP_00460;Normal | 35 hamle | SculptingStone x24, EnergyOrb x50
1;47;LevelCL_047;LevelP_00470;Normal | 32 hamle | SculptingStone x12, Cargo x2, Tube x3, ColorChest x6
1;48;LevelCL_048;LevelP_00480;Normal | 20 hamle | HelmetPorcelain x60, Cargo x6
1;49;LevelCL_049;LevelP_00490;Normal | 21 hamle | HelmetPorcelain x72, ColorChest x1
1;50;LevelCL_050;LevelP_00510;Normal | 21 hamle | SculptingSpecial x86
1;51;LevelCL_051;LevelP_00520;Normal | 26 hamle | HelmetPorcelain x36, SculptingSpecial x36
1;52;LevelCL_052;LevelP_00530;Normal | 23 hamle | PlasticTwoStage x32, ColorChest x4
1;53;LevelCL_053;LevelP_00540;Normal | 23 hamle | PlasticTwoStage x27, chest1 x30, Mud x27
1;54;LevelCL_054;LevelP_00560;Normal | 31 hamle | PlasticTwoStage x40, ColorChest x3
1;55;LevelCL_055;LevelP_00570;Normal | 35 hamle | SculptingSpecial x28, EnergyOrb x30
1;56;LevelCL_056;LevelP_00580;Normal | 35 hamle | PlasticTwoStage x24, Wardrobe x4
1;57;LevelCL_057;LevelP_00590;Normal | 23 hamle | chest1 x46, PlasticTwoStage x34, chest3 x2
1;58;LevelCL_058;LevelP_00610;Normal | 31 hamle | PlasticTwoStage x45, Wardrobe x2
1;59;LevelCL_059;LevelP_00620;Normal | 21 hamle | SculptingSpecial x20, Wardrobe x3, chest1 x24
1;60;LevelCL_060;LevelP_00630;Normal | 21 hamle | chest2 x32, Tube x3, chest1 x16, Cargo x1
1;61;LevelCL_061;LevelP_00640;Normal | 19 hamle | PlasticTwoStage x9, ColorChest x2, chest1 x27, Mud x27
1;62;LevelCL_062;LevelP_00660;Normal | 19 hamle | HelmetPorcelain x36, Oil x36
1;63;LevelCL_063;LevelP_00690;Normal | 25 hamle | ColorChest x10
1;64;LevelCL_064;LevelP_00710;Normal | 25 hamle | ColorChest x10
1;65;LevelCL_065;LevelP_00720;Normal | 20 hamle | ColorChest x4, plastic_orange x16
